Review_Date,Author,Rating,Review_Title,Review,Review_Url
82,2 November 2021,nanta-02951,10, Masterpiece 🔥🔥,Super movie.story was very nice l.screenplay too nice.manikamdan acting super.surya sir backbones this film.congrates entire team.music super and sengani acting good.she have a nice future in tamilcinema.rajisha vijayan acting was goodddd.....my English typing so bad.haha.my rating this film 10🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,
83,4 November 2021,najiurrahman,10, Master Piece Movie,"Really I loved this movie. Soorya has done good job. Acting, location, cast are perfect. I think it's must watch movie. Soorya good luck for your future project.",
84,5 November 2021,kranthireddyg,9, SENSATIONAL SURIYA.,It's been years Kollywood is exploring and producing masterpieces based on caste discrimination.,
85,5 November 2021,urboyfarhan,9, The best court- room drama movie I've ever seen in my life,"I've seen movies similar to this like section 375, ponmagal vandhal, nerkonda paarvai, etc but this movie is extraordinary. A brilliant masterpiece. Everyone nailed it. This movie must win a mainsail award. Best movie of 2021.",
86,16 November 2021,TheRajatShahare,10, Show's the reality of India in many ways...,"Don't go with the name of this movie. It's give the sense to understand why they name this movie ""Jay Bhim"". Excellent cinematography, production, direction and specially the acting of the actors and actresses. It literally shows the reality of the Indian police and political system. Highly recommended if you love good content movie.",
87,2 November 2021,I_am_abhishek,10, Excellent💯 Movie. Awesome Acting. Deserves Oscar,This is a must watch movie. From starting till end it was full of message & was really good acting. The Advocate role was very well performed. All characters performance was outstanding.,
88,5 November 2021,sunilpalandurkar,10, A story that delivered masterfully,"It's an out n out masterpiece. A true but sadistic story of tribals, shows how did they suffered during the course of life. Very well executed by the director and praiseworthy performances by the lead n supporting casts that makes this film a must watch. Thank u Amazon prime for bringing out such a story.",
89,2 November 2021,bhishamnarayan,10, JAI BHIM,What a movie...best court movie I ever seen...,
90,5 November 2021,sachchinannam,10, Surya!!,This movie touches extremely sensitive topic and the way it handled is phenomenal. Kudos to the director for his brave attempt and Surya for his brilliant performance.,
91,7 November 2021,anujbawa-67072,10, Masterpiece,This is an outstanding movie. Acting of all characters are superb. We can feel the pain of tribals in this movie. It's an extraordinary movie. Superb.,
92,8 November 2021,prakashessu,10, Those rating it bad are actually like the vilain the story,"10/10
Well made, Well shot, well shown and well DONE !! Not a movie for everyone but who love harsh reality of our society will appreciate it..This show of what calibre suriya is as an #Actor Hats off 🙂",
93,2 November 2021,saisathish-68708,10, Vera level... Movie,Respect and justice is equal for all.,
