Review_Date,Author,Rating,Review_Title,Review,Review_Url
55,14 August 2021,emojihundred,9, Great film with an unbelieveable ending.,Best sports movie with a great ending. The ending gives a great lesson. Totally worth watching and best ever acting by the actors...,
56,3 August 2021,insatiableaskeri,8, A must-watch for fight fans!,"While watching this flick I felt a whole spectrum of emotions ranging from despair to relief. It's a praiseworthy work that teaches people how it is necessary to forgive and forget about past family issues and hurdles on our way. An overall support can transform your mindset even tho you didn't expect it to change. Two brothers... one controversial father... a troublesome financial situation... distrustful behaviour and stubbornness... and, finally, fairness and solidarity that literally solidify faith in humanity!",
57,27 June 2020,stef2000,10, Like a force of nature!,A perfect 10 for ...,
58,2 October 2011,DonFishies,4," It has some great fight scenes, but the rest is a manipulative and predictable washout","Despite what you may have heard or read, Warrior just may be one of the most melodramatic and manipulative films ever conceived. Yes, it is a sports movie and gets a pass from most people because of the genre's varied history. But that is not nearly a good enough excuse for the dreck that Gavin O'Connor has helped concoct with this film. ",
59,24 December 2011,gradyharp,10, Warrior: A Powerful Film About Family,"WARRIOR is one of the finest films of the year - and that is a statement coming from one who does not like violent films. The film does deal with UFC fighting, a mania incomprehensible to most), but it is more an extraordinary story about the magnetism of family. Writer Gavin O'Connor (with Anthony Tambakis and Cliff Dorfman) also directs this intense film and his sensitivity in bringing out brilliant performances from everyone in his cast is simply amazing. This is a monumental achievement worthy of Academy Award consideration.",
60,8 August 2021,mwatt89,9, Cult level,"There was a time when Tom Hardy wasn't that famous. I know right, I can't even imagine anymore, but it's true. At the turn of the last century, he had a starring turn in Bronson to his name & a brief role in Rock'N'Rolla before the mightly Christopher Nolan cast him in one of the lead roles in his epic, sprawling masterpiece Inception.",
61,3 September 2020,stefan_busse,10, The essence of men and mankind,"An unassuming little film with a cast of has beens and wanna bees. Thanks to superior writing, understanding of the human spirit and unbelievably good acting, this will go down the history books as one of the greatest sports dramas of all time.",
62,25 May 2021,jmacusmc,10," An absolutely beautiful, emotional and unforgettable film","To this day, Warrior is one of, if not the best movies I have EVER seen. Actually, toss aside the one of part, it is the BEST film I've ever seen. Will shake you to your core regardless of your emotional fortitude. The true meaning of edge of your seat, screaming at the screen, fighting back your tears and actually shouting in celebration experiences.",
63,10 September 2011,jordankennerly,10, An Emotional Homerun,"As a teenager, I'm definitely inexperienced in the world of MMA. But this movie is not about MMA, and that is set very clear from the start. Right from the start of the 2 minute trailer. So naturally I was ecstatic to take my seat in the theater.",
64,19 December 2014,tr91,9, Such a powerful movie,"I will start off by saying that I am by no means a fan of MMA or any fighting sport for that matter but this film is outstanding, its about so much more than just fighting. This is about disjointed family who have not seen each other for years, they all have past or present problems that they need to put behind them and to forgive each other and move on.",
